,title,category
0,광주 종량제봉투 3~4개월분 남아…독점구매 집중 점검,Social
1,"윤희숙, 정원오 '성폭력 혐의자 재임용' 해명에 ""눈가리고 아웅""",Social
2,"인천공항, 하계시즌 45초 마다 항공기 1대씩 이 착륙",Social
3,강원대-강릉원주대 합친 '국내 최대' 통합 강원대 출범,Social
4,"대전시, 평촌産團에 3200억 규모 투자유치",Social
5,"""쯔양 '먹토' 봤다"" 허위 제보한 대학 동창…벌금 700만 원",Social
6,경기교육감 진보 단일화 본궤도…내달 22일 후보 나온다,Social
7,"지상파 3사·JTBC 월드컵 중계권 협상 공전...""논의 이어갈 것""",Social
8,전남광주교육비상연대 “이정선예비후보 지지” 천명,Social
9,"논산딸기축제 성황리 폐막…나흘간 67만명 방문, 딸기 150t 판매",Social
10,“왜 이렇게 칭얼대!” 카페서 1살 딸 얼굴 장난감으로 수차례 때린 母,Social
11,"""폐업하려면 2억, 그저 버틸 뿐""…벼랑 끝에 선 사장님 '눈물'",Social
12,"'중학생 흡연 제지'로 신고 당한 유튜버⋯경찰 ""그냥 상대하지 마시라"" 대응",Social
13,"[속보] ""벨 누르고 들어가""…40대 女 집에 침입해 강도 행각 벌인 4명의 男",Social
14,"정부 ""쓰레기 봉투 부족시 일반 봉투에 버리도록 허용…종량제 봉투 가격 인상도 없을 것""",Social
15,"[단독] 미래 내다본 것처럼 '김건희 일가' 양평 주택분양사업 구체적 계획…""매출 48억, 이익 17억 예상""",Social
16,[단독] 공동현관 비번 뚫고 ‘보복대행’ 한 20대 구속송치,Social
17,“비닐·플라스틱 수량 제한합니다”…자영업 현장은 이미 ‘비상’,Social
18,"제주서 12번째 타운홀 미팅 이 대통령… “해저터널은 반대, 제2공항은 도민 판단”",Social
19,"중2 횡단보도 흡연 제지하니 ""왜 찍냐"" 욕설…명현만 앞에서도 돌변",Social
20,대치동 은마 실거주 몇 명인지 전수조사했더니... 충격적 결과,Social
21,강남 압구정서 80대 운전자 몰던 차량 식당 돌진…4명 경상,Social
22,"방미통위원장 ""중계권 협상 가시적 성과 없어… 방송사들, 연대 속에서 경쟁해야""",Social
23,"프로게이머, 아버지 명의로 주식 투자하다 결국...",Social
24,대통령도 호응한 ‘고문 수사관’ 상훈 취소···7년 전 시민사회도 “정부가 나서야” 주문,Social
25,한강 유람선 좌초가 쏘아 올린 ‘6·3 지방선거’ 전초전,Social
26,[속보] 투자사기 신고했더니 ‘인분 투척’…인천서 보복 범행 의혹,Social
27,전국 흐리고 오전까지 비…낮 최고 21도 '포근'[내일날씨],Social
28,"종합특검, ‘수사2단’ 범죄단체조직죄 입건…노상원 정조준",Social
29,3월 마지막날 오전까지 봄비…예년보다 포근하고 대기질 회복,Social
30,"현직 경찰관 아내, ‘재개발 분양권’ 미끼로 16억 가로채… 항소심도 징역 5년",Social
31,"경찰, 조정훈 의원 공천헌금 의혹 수사…측근 소환",Social
32,대한항공 2000억 투자…‘항공우주 거점’ 그리는 서부산,Social
33,"""독감 걸려서 죄송합니다""…사망한 부천 유치원 교사가 원장에게 보낸 메시지",Social
34,"""이불 까세요"" ""준비하세요"" 원장 신부의 참혹한 지시",Social
